symbol,sector,industry,exchange,market_cap_B
NVDA,Technology,Semiconductors,NMS,4534.87
AAPL,Technology,Consumer Electronics,NMS,3900.35
MSFT,Technology,Software - Infrastructure,NMS,3892.04
GOOG,Communication Services,Internet Content & Information,NMS,3146.68
AMZN,Consumer Cyclical,Internet Retail,NMS,2391.18
META,Communication Services,Internet Content & Information,NMS,1854.86
AVGO,Technology,Semiconductors,NMS,1672.33
TSM,Technology,Semiconductors,NYQ,1529.82
TSLA,Consumer Cyclical,Auto Manufacturers,NMS,1442.47
WMT,Consumer Defensive,Discount Stores,NYQ,846.48
JPM,Financial Services,Banks - Diversified,NYQ,817.86
ORCL,Technology,Software - Infrastructure,NYQ,807.72
LLY,Healthcare,Drug Manufacturers - General,NYQ,739.98
V,Financial Services,Credit Services,NYQ,674.24
MA,Financial Services,Credit Services,NYQ,518.6
XOM,Energy,Oil & Gas Integrated,NYQ,491.94
NFLX,Communication Services,Entertainment,NMS,463.86
JNJ,Healthcare,Drug Manufacturers - General,NYQ,458.73
PLTR,Technology,Software - Infrastructure,NMS,438.01
COST,Consumer Defensive,Discount Stores,NMS,413.11
AMD,Technology,Semiconductors,NMS,410.45
BABA,Consumer Cyclical,Internet Retail,NYQ,405.13
ABBV,Healthcare,Drug Manufacturers - General,NYQ,402.76
ASML,Technology,Semiconductor Equipment & Materials,NMS,401
BAC,Financial Services,Banks - Diversified,NYQ,385.31
HD,Consumer Cyclical,Home Improvement Retail,NYQ,384.9
PG,Consumer Defensive,Household & Personal Products,NYQ,356.9
UNH,Healthcare,Healthcare Plans,NYQ,328.31
SAP,Technology,Software - Application,NYQ,327.12
GE,Industrials,Aerospace & Defense,NYQ,320.53
CVX,Energy,Oil & Gas Integrated,NYQ,313.43
KO,Consumer Defensive,Beverages - Non-Alcoholic,NYQ,299.87
IBM,Technology,Information Technology Services,NYQ,287.39
CSCO,Technology,Communication Equipment,NMS,279.21
WFC,Financial Services,Banks - Diversified,NYQ,272.1
TM,Consumer Cyclical,Auto Manufacturers,NYQ,267.68
MS,Financial Services,Capital Markets,NYQ,260.7
AZN,Healthcare,Drug Manufacturers - General,NMS,258.64
NVS,Healthcare,Drug Manufacturers - General,NYQ,253.37
AXP,Financial Services,Credit Services,NYQ,246.31
MU,Technology,Semiconductors,NMS,245.84
PM,Consumer Defensive,Tobacco,NYQ,245.36
CAT,Industrials,Farm & Heavy Construction Machinery,NYQ,244.89
TMUS,Communication Services,Telecom Services,NMS,243.58
CRM,Technology,Software - Application,NYQ,242.6
GS,Financial Services,Capital Markets,NYQ,242.06
RTX,Industrials,Aerospace & Defense,NYQ,239.53
NVO,Healthcare,Drug Manufacturers - General,NYQ,236.41
HSBC,Financial Services,Banks - Diversified,NYQ,230.38
SHOP,Technology,Software - Application,NMS,224.95
ABT,Healthcare,Medical Devices,NYQ,220.78
MRK,Healthcare,Drug Manufacturers - General,NYQ,218.53
MCD,Consumer Cyclical,Restaurants,NYQ,218.21
SHEL,Energy,Oil & Gas Integrated,NYQ,218.15
TMO,Healthcare,Diagnostics & Research,NYQ,216.18
APP,Communication Services,Advertising Agencies,NMS,209.71
LIN,Basic Materials,Specialty Chemicals,NMS,209.13
RY,Financial Services,Banks - Diversified,NYQ,208.59
PEP,Consumer Defensive,Beverages - Non-Alcoholic,NMS,207.22
DIS,Communication Services,Entertainment,NYQ,200.79
UBER,Technology,Software - Application,NYQ,196.18
ISRG,Healthcare,Medical Instruments & Supplies,NMS,193.74
ANET,Technology,Computer Hardware,NYQ,193.33
NOW,Technology,Software - Application,NYQ,193.03
LRCX,Technology,Semiconductor Equipment & Materials,NMS,190.99
INTU,Technology,Software - Application,NMS,190.45
BX,Financial Services,Asset Management,NYQ,190.2
PDD,Consumer Cyclical,Internet Retail,NMS,190.18
HDB,Financial Services,Banks - Regional,NYQ,188.26
INTC,Technology,Semiconductors,NMS,182.44
