symbol,sector,industry,market_cap_B,last_price,change_pct,volume_vs_avg,data_days,data_completeness,indicators_used,bullish_score,bearish_score,net_score,pct_from_52w_high,volatility,day_change,bull_price_above_10ma,bull_price_above_20ma,bull_strong_volume_today,bull_bullish_spike_recent,bull_healthy_volume,bull_rsi_bullish,bull_macd_bullish,bull_bullish_momentum,bull_near_52w_high,bull_bullish_gap,bull_strong_range,bull_positive_day,bear_price_below_10ma,bear_price_below_20ma,bear_strong_volume_today,bear_bearish_spike_recent,bear_distribution_volume,bear_rsi_bearish,bear_macd_bearish,bear_bearish_momentum,bear_far_from_52w_high,bear_bearish_gap,bear_strong_range,bear_negative_day,morning_momentum_rank
SNN,Healthcare,Medical Devices,11.21,28.920000076293945,2.8815348571856525,1.7348207939892375,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-1.1957648650356978,2.037640777078554,0.20789835299193093,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,781.0
COMM,Technology,Communication Equipment,1.1,6.170000076293945,26.175874125908226,3.8646277391283603,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-1.2799987792968759,5.846261409038218,5.470088493642056,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,14.0
NIO,Consumer Cyclical,Auto Manufacturers,9.11,4.71999979019165,10.538637266398654,1.8826525838839252,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-3.8696550534640273,4.524818978304471,7.7625494718538635,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,90.0
TSBK,Financial Services,Banks - Regional,0.24,32.040000915527344,4.296880311449169,1.3668430335097002,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",88.88888888888889,7.4074074074074066,81.48148148148148,-0.062384456977393477,2.1300915400303984,3.655778303764179,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,462.0
XIN,Real Estate,Real Estate - Development,0.02,3.0899999141693115,8.421053247988963,3.1284722222222223,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-4.629632559441832,5.709664383899645,6.551717674264657,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,138.0
DOLE,Consumer Defensive,Farm Products,1.31,14.6899995803833,4.555155736371308,2.2715300679489165,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-2.7152370246928403,2.394729789502472,1.6608980919451621,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,419.0
ZI,Technology,Software - Application,3.76,11.729999542236328,23.08499339883232,4.302833996928764,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-2.7766270186337594,4.377666681858557,4.9664370651341105,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,16.0
CEVA,Technology,Semiconductors,0.76,38.439998626708984,18.276918851412248,3.100550027810395,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-1.2332979568825508,5.537385998027579,8.46501161469877,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,27.0
ACMR,Technology,Semiconductor Equipment & Materials,1.29,27.690000534057617,20.706189578975653,2.76980646724669,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-3.317035180993,6.42109008175286,0.07228210230765253,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,21.0
TIPT,Financial Services,Insurance - Specialty,0.74,21.899999618530273,1.061373056883097,1.6976414701225102,39,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-4.32503188080412,3.7932163309506985,0.4587173622452312,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,1564.0
