symbol,sector,industry,market_cap_B,last_price,change_pct,volume_vs_avg,data_days,data_completeness,indicators_used,bullish_score,bearish_score,net_score,pct_from_52w_high,volatility,day_change,bull_price_above_10ma,bull_price_above_20ma,bull_strong_volume_today,bull_bullish_spike_recent,bull_healthy_volume,bull_rsi_bullish,bull_macd_bullish,bull_bullish_momentum,bull_near_52w_high,bull_bullish_gap,bull_strong_range,bull_positive_day,bear_price_below_10ma,bear_price_below_20ma,bear_strong_volume_today,bear_bearish_spike_recent,bear_distribution_volume,bear_rsi_bearish,bear_macd_bearish,bear_bearish_momentum,bear_far_from_52w_high,bear_bearish_gap,bear_strong_range,bear_negative_day,morning_momentum_rank
INVE,Industrials,Building Products & Equipment,0.08,3.8499999046325684,6.648199903351304,1.815433854907539,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-2.777781122595069,5.640075165108187,1.5831119626240175,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,108.0
UNM,Financial Services,Insurance - Life,13.92,81.72000122070312,5.745344864829005,1.8854605313528827,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-2.667934597659838,2.1912796037815037,0.9262689745498376,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,136.0
GATE,Financial Services,Shell Companies,0.12,11.0,0.64043634830524,1.3924050632911393,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",81.48148148148148,0.0,81.48148148148148,0.0,0.2922070490849482,0.09099389526938673,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1000.0
SSSS,Financial Services,Asset Management,0.13,6.559999942779541,19.926877411264044,4.104058345255958,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-3.95314764191107,8.144599394946392,10.25210341292,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,28.0
FMX,Consumer Defensive,Beverages - Brewers,150.58,94.08999633789062,5.1637365084985065,1.9223912709389888,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-2.8497699325911285,2.50595786198926,1.499460016621712,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,158.0
VSEC,Industrials,Aerospace & Defense,2.09,117.81999969482422,16.65346504438041,1.9138486564269404,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-3.0288068355356246,4.99854574899921,6.508765837528108,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,34.0
MPW,Real Estate,REIT - Healthcare Facilities,2.82,5.579999923706055,16.98113094378271,3.21297867619253,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-0.17889496616929623,3.289811422987087,12.27364505564459,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,33.0
ADT,Industrials,Security & Protection Services,6.91,8.119999885559082,7.835320840791171,2.725534829843486,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-2.5210088843979572,2.722553973411781,2.4605639133257418,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,88.0
ERJ,Industrials,Aerospace & Defense,7.53,47.5,10.748427782594439,3.4265358514597306,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-1.8595072262501566,3.109775055620007,9.195402298850585,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,58.0
IBIO,Healthcare,Biotechnology,0.03,5.050000190734863,34.30851605168941,4.991833132120647,40,90.0,"MA10, MA20, RSI, MACD, Gaps, ATR, ROC, 52wHigh",100.0,18.51851851851852,81.48148148148148,-2.8846081544659063,10.240451568953361,33.245388959470844,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,8.0
